rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
182,"spotify:track:70f0ToGXTEtLKFSwHMbHoC","Aaron Neville","Please Come Home For Christmas","A&M",102,102,2,"652780"
183,"spotify:track:4DTpngLjoHj5gFxEZFeD3J","Kodak Black, Lil Wayne","Codeine Dreaming (feat. Lil Wayne)","Atlantic Records",88,169,29,"652247"
184,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",7,178,359,"649908"
185,"spotify:track:2nWeF8M4XwOdIEUK8q1kTj","Nat King Cole","O Tannenbaum","CAPITOL CATALOG MKT (C92)",185,-1,1,"647250"
186,"spotify:track:3E6Ydoy1H8ePoigc10Mgsa","Sia","Snowman","Monkey Puzzle/Atlantic",133,133,3,"645446"
187,"spotify:track:6Ai7PiAjnb4eIiC05By0i4","Elvis Presley","O Little Town of Bethlehem","RCA Victor",187,-1,1,"642285"
188,"spotify:track:1yxgsra98r3qAtxqiGZPiX","Travis Scott","BUTTERFLY EFFECT","Cactus Jack / Epic / Grand Hustle",37,184,220,"639605"
189,"spotify:track:3DXncPQOG4VBw3QHh3S817","DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","Epic/We The Best",2,179,242,"638566"
190,"spotify:track:4DV9KToOaC0khx2MqOZstE","Peggy Lee","The Christmas Waltz","Capitol Records",190,-1,1,"631324"
191,"spotify:track:6gBFPUFcJLzWGx4lenP6h2","Travis Scott","goosebumps","Epic/Grand Hustle",56,189,358,"630788"
192,"spotify:track:7Ed6BkggCS2KaKY5YlINaF","BTS, Desiigner, Steve Aoki","MIC Drop (feat. Desiigner) [Steve Aoki Remix]","BIGHIT MUSIC",75,188,32,"626506"
193,"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","Bruno Mars","That's What I Like","Atlantic Records",5,187,359,"624738"
194,"spotify:track:0CokSRCu5hZgPxcZBaEzVE","Macklemore, Skylar Grey","Glorious (feat. Skylar Grey)","Bendo LLC",13,185,173,"624002"
195,"spotify:track:2345kZ5rt8eHjO8CFpx3Yi","The Platters","Christmas Time","Island Mercury",195,-1,1,"621506"
196,"spotify:track:5WoaF1B5XIEnWfmb5NZikf","Miguel, Travis Scott","Sky Walker (feat. Travis Scott)","ByStorm Entertainment/RCA Records",84,174,41,"621486"
197,"spotify:track:0tXPhc8LvM4dPvoRwI66XQ","Michael Bublé","I'll Be Home for Christmas","Reprise",194,194,2,"621484"
198,"spotify:track:152lZdxL1OR0ZMW6KquMif","Khalid","Location","Right Hand Music Group, LLC/RCA Records",32,191,325,"615509"
199,"spotify:track:6EpRaXYhGOB3fj4V2uDkMJ","Liam Payne, Quavo","Strip That Down (feat. Quavo)","Capitol",8,192,221,"612564"
200,"spotify:track:1XRgIKC5TPwo7nWGyKqgG0","Gucci Mane, Migos","I Get the Bag (feat. Migos)","Guwop Enterprises/Atlantic",42,186,129,"612157"
